client_user_id,session_id,dropped_frames,FPS,bitrate,RTT,timestamp,device
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,27.0,4660.0,31.0,2022-09-02 02:54:30,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,31.0,4.0,7936.0,30.0,2022-09-02 02:54:35,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,36.0,5319.0,32.0,2022-09-02 02:54:40,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,26.0,696.0,31.0,2022-09-02 02:54:45,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,28.0,18500.0,30.0,2022-09-02 02:54:50,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,31.0,696.0,30.0,2022-09-02 02:54:55,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,27.0,724.0,30.0,2022-09-02 02:55:00,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,27.0,575.0,30.0,2022-09-02 02:55:05,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,29.0,594.0,30.0,2022-09-02 02:55:10,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,30.0,743.0,31.0,2022-09-02 02:55:15,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,30.0,891.0,30.0,2022-09-02 02:55:20,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,30.0,557.0,30.0,2022-09-02 02:55:25,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,30.0,576.0,31.0,2022-09-02 02:55:30,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,30.0,5031.0,31.0,2022-09-02 02:55:35,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,28.0,1151.0,33.0,2022-09-02 02:55:40,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,29.0,16505.0,31.0,2022-09-02 02:55:45,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,25.0,11000.0,30.0,2022-09-02 02:55:50,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,30.0,575.0,30.0,2022-09-02 02:55:55,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,29.0,1745.0,31.0,2022-09-02 02:56:00,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,29.0,1550.0,32.0,2022-09-02 02:56:05,Windows
